Frequency (Hz)	Level (dB)
261.090088	-52.591854
261.763000	-52.962158
262.435913	-53.100719
263.108826	-53.617020
263.781738	-53.887928
264.454651	-54.023792
265.127563	-53.711739
265.800476	-54.130043
266.473389	-53.946819
267.146301	-53.443619
267.819214	-53.830441
268.492126	-54.009754
269.165039	-53.653812
269.837952	-53.723644
270.510864	-53.469666
271.183777	-52.938293
271.856689	-52.607849
272.529602	-52.460915
273.202515	-52.245316
273.875427	-51.986073
274.548340	-51.312492
275.221252	-50.483433
275.894165	-50.095409
276.567078	-48.587143
277.239990	-46.012131
277.912903	-44.241619
278.585815	-43.674644
279.258728	-44.500534
279.931641	-46.411903
280.604553	-48.032261
281.277466	-48.443752
281.950378	-48.146679
282.623291	-47.976563
283.296204	-47.896282
283.969116	-46.953659
284.642029	-46.404842
285.314941	-45.209175
285.987854	-43.241920
286.660767	-41.161793
287.333679	-38.880844
288.006592	-37.758213
288.679504	-37.734062
289.352417	-37.580673
290.025330	-36.786518
290.698242	-35.126812
291.371155	-32.983570
292.044067	-30.765400
292.716980	-29.076845
293.389893	-28.402035
294.062805	-29.498058
294.735718	-31.487862
295.408630	-32.470406
296.081543	-33.920242
296.754456	-36.127655
297.427368	-38.960251
298.100281	-41.355778
298.773193	-43.064972
299.446106	-44.697865
300.119019	-46.132954
300.791931	-46.676117
301.464844	-46.892029
302.137756	-47.254372
302.810669	-47.834557
303.483582	-48.155514
304.156494	-48.263458
304.829407	-48.893379
305.502319	-48.917263
306.175232	-48.564907
306.848145	-47.929646
307.521057	-46.919773
308.193970	-45.487438
308.866882	-43.477558
309.539795	-41.374199
310.212708	-39.097572
310.885620	-36.723076
311.558533	-34.764439
312.231445	-33.624645
312.904358	-33.464142
313.577271	-33.564972
314.250183	-33.880272
314.923096	-34.788082
315.596008	-35.624329
316.268921	-36.643280
316.941833	-37.944271
317.614746	-38.815269
318.287659	-39.366440
318.960571	-40.268993
319.633484	-40.996986
320.306396	-41.073406
320.979309	-41.352489
321.652222	-42.127529
322.325134	-41.490593
322.998047	-40.845856
323.670959	-41.275826
324.343872	-41.453510
325.016785	-39.339817
325.689697	-38.194702
326.362610	-37.697411
327.035522	-34.745747
327.708435	-32.050060
328.381348	-29.808294
329.054260	-27.989412
329.727173	-27.326557
330.400085	-28.113153
331.072998	-28.860052
331.745911	-29.739319
332.418823	-31.063509
333.091736	-32.302975
333.764648	-34.384811
334.437561	-36.034431
335.110474	-37.211502
335.783386	-38.767796
336.456299	-40.556820
337.129211	-41.871490
337.802124	-43.415981
338.475037	-44.386662
339.147949	-44.847263
339.820862	-45.740795
340.493774	-46.520428
341.166687	-47.415512
341.839600	-48.539932
342.512512	-48.821217
343.185425	-48.802490
343.858337	-49.516563
344.531250	-49.940422
345.204163	-50.361965
345.877075	-51.342056
346.549988	-51.387787
347.222900	-51.199257
347.895813	-51.868561
348.568726	-51.778061
349.241638	-51.924416
349.914551	-52.944050
350.587463	-53.134205
351.260376	-52.387817
351.933289	-53.510273
352.606201	-53.262966
353.279114	-52.126419
353.952026	-52.860405
354.624939	-52.839054
355.297852	-52.034306
355.970764	-51.837307
356.643677	-51.350052
357.316589	-51.089119
357.989502	-50.217716
358.662415	-48.118515
359.335327	-48.149197
360.008240	-49.558529
360.681152	-47.519291
361.354065	-46.034950
362.026978	-47.385544
362.699890	-47.100430
363.372803	-44.902573
364.045715	-45.168438
364.718628	-46.517582
365.391541	-44.814339
366.064453	-43.351673
366.737366	-43.296150
367.410278	-41.012974
368.083191	-38.448349
368.756104	-36.049538
369.429016	-34.321743
370.101929	-33.693211
370.774841	-32.328064
371.447754	-30.852121
372.120667	-30.663610
372.793579	-31.984571
373.466492	-33.608723
374.139404	-34.789108
374.812317	-35.737652
375.485229	-36.758205
376.158142	-38.193119
376.831055	-40.772408
377.503967	-43.265522
378.176880	-44.118664
378.849792	-45.155861
379.522705	-46.058849
380.195618	-45.962639
380.868530	-46.066284
381.541443	-46.770302
382.214355	-46.827721
382.887268	-47.274532
383.560181	-48.263062
384.233093	-48.191532
384.906006	-48.612213
385.578918	-49.378048
386.251831	-48.960709
386.924744	-48.775932
387.597656	-48.236561
388.270569	-47.407497
388.943481	-46.741333
389.616394	-45.273949
390.289307	-43.809288
390.962219	-43.354393
391.635132	-43.992485
392.308044	-44.116325
392.980957	-43.074196
393.653870	-42.193729
394.326782	-42.519299
394.999695	-44.410786
395.672607	-46.934280
396.345520	-47.661327
397.018433	-47.156345
397.691345	-46.930359
398.364258	-47.300503
399.037170	-47.302906
399.710083	-47.557175
400.382996	-47.641399
401.055908	-47.059006
401.728821	-47.160671
402.401733	-47.482853
403.074646	-46.512592
403.747559	-45.926121
404.420471	-46.604794
405.093384	-46.486355
405.766296	-44.988777
406.439209	-44.867222
407.112122	-45.583618
407.785034	-44.366890
408.457947	-43.179485
409.130859	-42.984425
409.803772	-40.704987
410.476685	-37.110989
411.149597	-34.650848
411.822510	-33.923721
412.495422	-33.629192
413.168335	-32.697277
413.841248	-31.074602
414.514160	-30.527121
415.187073	-31.272200
415.859985	-32.601582
416.532898	-32.973011
417.205811	-31.740074
417.878723	-31.533722
418.551636	-33.215202
419.224548	-36.493649
419.897461	-37.867107
420.570374	-35.609085
421.243286	-34.741261
421.916199	-35.811218
422.589111	-37.756744
423.262024	-39.285793
423.934937	-40.475018
424.607849	-41.544514
425.280762	-42.499733
425.953674	-43.590370
426.626587	-44.774529
427.299500	-45.807026
427.972412	-46.566166
428.645325	-46.687737
429.318237	-46.836525
429.991150	-46.993011
430.664063	-46.976563
431.336975	-47.007103
432.009888	-47.894569
432.682800	-47.298439
433.355713	-45.554810
434.028625	-44.602814
434.701538	-43.216877
435.374451	-41.062374
436.047363	-39.839954
436.720276	-39.132900
437.393188	-36.902920
438.066101	-34.484787
438.739014	-32.989861
439.411926	-32.321011
440.084839	-32.474609
440.757751	-33.952267
441.430664	-34.244129
442.103577	-32.811611
442.776489	-32.659275
443.449402	-33.915424
444.122314	-37.118568
444.795227	-39.076435
445.468140	-39.019920
446.141052	-37.980663
446.813965	-38.235481
447.486877	-39.031452
448.159790	-40.302711
448.832703	-41.704578
449.505615	-43.058224
450.178528	-44.428452
450.851440	-44.373093
451.524353	-44.688156
452.197266	-45.298943
452.870178	-45.906094
453.543091	-46.346283
454.216003	-47.494686
454.888916	-47.359909
455.561829	-47.283932
456.234741	-48.415596
456.907654	-48.863430
457.580566	-49.225803
458.253479	-50.416191
458.926392	-50.405731
459.599304	-49.990189
460.272217	-50.846054
460.945129	-51.396133
461.618042	-51.003334
462.290955	-51.577229
462.963867	-52.160694
463.636780	-51.179482
464.309692	-51.566738
